Date,Channel,Campaign,Spend (TL),Impressions,Clicks,Acquired_Customers,Revenue (TL),Product_Cost (TL),ROI (%),CAC (TL)
2025-02-16,Instagram,Holiday Discount,2283.26,2355,2191,53,17614.56,4816.68,460.51,43.08
2024-06-15,Facebook,Brand Awareness,3038.04,59936,785,63,17712.88,1086.15,447.28,48.22
2024-09-01,Instagram,Holiday Discount,4482.82,65608,3437,17,10605.52,3252.36,64.03,263.7
2025-02-12,Organic,Brand Awareness,4337.86,82622,2709,64,2362.7,4913.06,-158.79,67.78
2025-03-19,Google Ads,Brand Awareness,4457.59,88051,498,6,5483.27,1893.66,-19.47,742.93
2024-11-22,Instagram,New Product,1386.52,80756,1885,14,9192.08,4441.66,242.61,99.04
2025-05-09,Instagram,Summer Sale,223.16,48266,4765,17,15048.27,4322.76,4706.2,13.13
2025-02-16,Google Ads,Brand Awareness,1342.28,55554,663,38,14262.47,1708.44,835.28,35.32
2025-01-28,Email,Black Friday,1429.6,59215,1483,69,12889.89,510.62,765.93,20.72
2024-10-27,Facebook,Holiday Discount,4551.33,61656,926,13,17616.89,909.12,267.1,350.1
2024-07-03,Instagram,Black Friday,3263.75,55104,2625,53,16072.66,1841.43,336.04,61.58
2025-03-03,Google Ads,Holiday Discount,454.43,77844,1183,9,19644.07,4796.49,3167.3,50.49
2025-02-19,Instagram,New Product,720.12,1969,4920,44,17794.25,1386.76,2178.44,16.37
2024-06-04,Facebook,Brand Awareness,820.6,99896,721,26,3993.56,4635.79,-178.26,31.56
2024-12-29,Organic,Summer Sale,3170.59,1254,1680,77,1246.57,923.2,-89.8,41.18
2025-01-19,Google Ads,Brand Awareness,3690.3,11306,3368,19,8348.77,4849.67,-5.18,194.23
2024-12-31,Facebook,Holiday Discount,4305.24,66516,410,48,12388.34,1482.15,153.32,89.69
2024-07-25,Instagram,Summer Sale,4706.15,94077,2442,81,12897.76,3172.8,106.64,58.1
2024-09-14,Organic,Brand Awareness,1048.44,69197,3951,80,5423.5,367.06,382.28,13.11
2024-06-20,Instagram,Summer Sale,1583.37,81845,847,30,17211.63,1512.33,891.51,52.78
2024-08-09,Email,Holiday Discount,1239.6,19223,1833,32,6652.0,1069.34,350.36,38.74
2024-11-19,Organic,New Product,1825.87,72441,116,78,18390.38,37.02,905.18,23.41
2024-08-26,Twitter,New Product,4577.59,68967,3084,79,9484.87,800.71,89.71,57.94
2024-12-20,Facebook,Brand Awareness,2896.81,74292,2140,76,306.77,2973.66,-192.06,38.12
2024-07-20,Instagram,Black Friday,3704.05,71889,2326,75,3324.62,1961.8,-63.21,49.39
2025-05-08,Organic,Holiday Discount,2476.09,51117,3565,69,2136.15,3618.4,-159.86,35.89
2024-09-19,Affiliate,Brand Awareness,192.85,2737,283,11,976.11,3361.95,-1337.15,17.53
2024-10-06,Twitter,Brand Awareness,367.77,83404,1272,98,14308.94,4000.51,2702.96,3.75
2024-06-19,Facebook,New Product,2712.72,33476,2594,83,3927.09,4337.78,-115.14,32.68
2025-04-11,Google Ads,Summer Sale,3608.01,25325,1105,26,16788.53,4102.73,251.6,138.77
2025-04-01,Instagram,Holiday Discount,1115.89,13326,4604,26,5362.93,2251.34,178.84,42.92
2024-12-11,Organic,Summer Sale,3623.45,91122,3397,17,743.31,1557.46,-122.47,213.14
2024-11-23,Instagram,Holiday Discount,4062.8,13911,1219,95,16431.44,2521.47,242.37,42.77
2024-09-01,Instagram,Black Friday,2088.89,30080,4151,83,9376.3,2684.94,220.33,25.17
2024-11-21,Organic,New Product,3744.78,23635,543,44,12030.16,1579.61,179.07,85.11
2024-12-06,Facebook,Black Friday,2049.95,52179,3229,84,6790.92,2709.23,99.11,24.4
2025-04-09,Twitter,Brand Awareness,3407.84,6213,3893,23,1016.2,546.78,-86.23,148.17
2024-05-31,Facebook,New Product,3831.79,58142,1413,25,7466.52,1170.59,64.31,153.27
2025-04-05,Facebook,Brand Awareness,4960.04,64545,3448,92,10413.9,3735.32,34.65,53.91
2024-09-28,Instagram,Black Friday,1759.71,28940,1106,37,332.56,930.5,-133.98,47.56
2024-07-14,Organic,Holiday Discount,2084.65,49604,192,76,11528.37,712.41,418.84,27.43
2025-01-19,Google Ads,Brand Awareness,869.82,89901,3365,65,17871.54,1450.97,1787.81,13.38
2024-07-27,Google Ads,Summer Sale,1060.16,75332,4881,2,4435.03,1867.82,142.15,530.08
2025-01-15,Affiliate,Holiday Discount,3482.31,50119,2823,74,18542.71,1656.17,384.92,47.06
2025-05-09,Google Ads,Holiday Discount,4589.38,83888,1934,98,2042.41,1885.53,-96.58,46.83
2024-07-05,Instagram,Black Friday,2003.29,62604,2314,32,16526.18,716.76,689.17,62.6
2024-12-14,Instagram,Black Friday,940.23,17820,1974,89,16822.45,843.67,1599.45,10.56
2024-08-29,Instagram,New Product,1461.24,77502,4095,74,5229.42,1194.46,176.13,19.75
2025-03-02,Email,New Product,2302.51,68345,2531,55,19161.08,2021.92,644.37,41.86
2024-07-18,Google Ads,Summer Sale,1488.72,40314,1940,50,8390.31,1692.78,349.89,29.77
2025-05-16,Instagram,Holiday Discount,1206.22,41875,3175,65,2911.0,3960.85,-187.04,18.56
